Articulo,Sum of Ganancia,Sum of Importe,Sum of Importe USD,Sum of Cantidad,Sum of Hormas
FL04 - Postre Flan sabor vainilla con caramelo COLONIAL tarrina 120grs,84168.204,172600.79284731575,4543.715055042098,8396,0
AL01 - Postre Arroz con leche COLONIAL tarrina 200grs,93212.93999999999,169435.7843541034,4461.772210843389,4370,0
QU1396 - Queso Muzarella   PUERTO DEL SAUCE  barra 3.2 kg,32234.688,152660.404976618,4083.837954721397,699.8979999999999,209
DL3265 - Dulce de leche Diet  Repostero COLONIAL Bolsa 5 kg,68754.364,136629.81,3600.6636000000008,191,0
QU51 - Queso Parrillero   COLONIAL  Barra 2.5 kg,57949.51200000002,136158.9557440981,3584.185129333294,391.7920000000001,211
AL03 - Postre Arroz con leche con dulce de leche COLONIAL tarrina 200grs,72147.16399999998,133191.90600081393,3504.6654810753853,3384,0
DL2956 - Dulce de Leche Tableta   LAPATAIA  bolsa 20 kg,53830.81,125462.19,3288.052,67,0
YG5055 - Yogur Bebible COLONIAL Naranja-Durazno-Mango Sachet 1 Kg,68785.54199999999,124559.02808143507,3279.972277676393,4134,0
DL5083 - Dulce de Leche  TUKU TUKU frasco vidrio 0.44 kg,46640.381,115668,3031.37,1836,0
DL3230 - Dulce de Leche Cremoso   PUERTO DEL SAUCE  envase descartable  5 kg,52761.73300000001,111870.5947994564,2938.9816704810746,294,0
DL5062 - Dulce de Leche TATA Pote Plastico 1 kg,40401.94900000001,107951.688,2927.8615800000007,1230,0
DL25 - Dulce de Leche Heladero   COLONIAL  envase retornable  5 kg,54338.23400000001,107630.08899999999,2845.693,234,0
QU5093 - Queso Ricota CALCAR  Barra 5 kg,65640.178,99590.05300000001,2608.33,1562.4419999999998,316
DL5063 - Dulce de Leche TATA Pote Plastico 0.5 kg,24631.211,88320.246,2309.84645,1956,0
1552 - PALLETS 100x120 MERCOPALLET,37134.225000000006,84192,2205.256,96,0
QU5053 - Queso Magro TIENDA INGLESA  Barra 2.8 kg,23130.259000000002,63918.02500000001,1686.471,250.662,69
YG5082 - YoGreen sabor Frutos del Bosque Alimento Cremoso base Vegetal  Pote Plastico 0.180 kg,13441.248000000009,30523.534877226793,807.2226581030003,816,0
GL08 - Postre Gelatina sabor Naranja COLONIAL tarrina 120grs,2528.387,28467.02601576419,753.2214004163718,3293,0
GL06 - Postre Gelatina sabor Frutilla COLONIAL tarrina 120grs,382.462,28048.177160193824,742.0746042517043,3388,0
DL1557 - Dulce de Leche Cremoso   PUERTO DEL SAUCE  Pote Plastico 0.5 kg,13799.958,27819.276379391966,735.0712694614025,516,0
GL07 - Postre Gelatina sabor Manzana COLONIAL tarrina 120grs,1857.5459999999998,26366.42901576419,697.5694004163719,2924,0
